,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,50.0,50.0,49.0,49.0,47.0,40.0,37.0,34.0,32.0,50.0,50.0,44.0,40.0,41.0,37.0,50.0,45.0,46.0,36.0,25.0,50.0,41.0,38.0,25.0,47.0,40.0,35.0,32.0,48.0,38.0,40.0,38.0,40.0,28.0,42.0,38.0,37.0,36.0
1,50.0,50.0,50.0,46.0,43.0,40.0,45.0,32.0,26.0,50.0,50.0,49.0,41.0,36.0,34.0,50.0,48.0,44.0,37.0,33.0,48.0,43.0,38.0,27.0,49.0,32.0,36.0,30.0,43.0,38.0,36.0,37.0,41.0,33.0,38.0,45.0,32.0,39.0
2,50.0,50.0,49.0,49.0,43.0,42.0,41.0,35.0,29.0,50.0,50.0,50.0,41.0,43.0,37.0,50.0,47.0,45.0,29.0,31.0,49.0,45.0,28.0,32.0,45.0,42.0,32.0,30.0,42.0,44.0,36.0,40.0,42.0,31.0,35.0,35.0,37.0,33.0
3,50.0,50.0,48.0,50.0,47.0,43.0,41.0,32.0,33.0,50.0,50.0,47.0,46.0,38.0,33.0,50.0,47.0,44.0,40.0,32.0,49.0,44.0,41.0,31.0,47.0,45.0,35.0,33.0,45.0,40.0,44.0,38.0,34.0,34.0,39.0,35.0,29.0,34.0
4,50.0,50.0,48.0,50.0,49.0,44.0,41.0,39.0,33.0,50.0,50.0,45.0,46.0,40.0,32.0,50.0,49.0,41.0,37.0,28.0,50.0,45.0,39.0,30.0,50.0,45.0,31.0,31.0,45.0,45.0,41.0,37.0,37.0,28.0,40.0,38.0,28.0,39.0
5,50.0,50.0,50.0,43.0,47.0,42.0,39.0,40.0,28.0,50.0,50.0,46.0,44.0,37.0,33.0,50.0,50.0,43.0,38.0,28.0,50.0,47.0,42.0,28.0,49.0,41.0,33.0,34.0,47.0,40.0,42.0,39.0,42.0,29.0,38.0,39.0,37.0,34.0
6,50.0,50.0,50.0,46.0,47.0,41.0,41.0,39.0,34.0,50.0,50.0,47.0,44.0,37.0,30.0,50.0,48.0,47.0,42.0,33.0,50.0,46.0,43.0,33.0,47.0,43.0,39.0,26.0,46.0,40.0,43.0,41.0,40.0,28.0,42.0,34.0,33.0,25.0
7,50.0,50.0,48.0,48.0,46.0,41.0,41.0,43.0,31.0,50.0,50.0,49.0,39.0,34.0,29.0,50.0,50.0,43.0,37.0,35.0,49.0,41.0,38.0,29.0,46.0,48.0,38.0,24.0,46.0,38.0,43.0,40.0,38.0,30.0,38.0,42.0,35.0,37.0
8,50.0,50.0,49.0,49.0,48.0,44.0,40.0,39.0,32.0,50.0,50.0,44.0,43.0,41.0,32.0,50.0,47.0,42.0,39.0,24.0,49.0,47.0,40.0,36.0,45.0,38.0,35.0,28.0,49.0,38.0,40.0,30.0,38.0,32.0,34.0,46.0,30.0,31.0
9,50.0,50.0,48.0,50.0,48.0,37.0,40.0,40.0,29.0,50.0,50.0,47.0,42.0,41.0,33.0,50.0,49.0,44.0,39.0,31.0,49.0,45.0,37.0,31.0,43.0,43.0,40.0,34.0,46.0,33.0,40.0,41.0,44.0,33.0,40.0,32.0,35.0,37.0
